Race,REP,Total Votes,prop_r_vote
TX_01,167734,231969,0.7230879988274296
TX_02,139012,262924,0.5287155223562703
TX_03,168775,311070,0.5425627672228116
TX_04,188003,248373,0.7569381535029975
TX_05,130404,209147,0.6235040426111778
TX_06,135779,255543,0.5313352351659016
TX_07,115418,242986,0.4749985595877952
TX_08,200367,272732,0.7346662657847264
TX_09,0,152653,0.0
TX_10,154807,304111,0.5090476832472354
TX_11,174749,217883,0.802031365457608
TX_12,172205,267807,0.643019039830923
TX_13,168090,206093,0.8156026648163693
TX_14,137582,231873,0.5933506704100951
TX_15,63593,164284,0.3870918653064206
TX_16,48495,179619,0.26998814156631534
TX_17,134375,236364,0.5685087407557835
TX_18,38306,183978,0.20820967724401832
TX_19,152012,201953,0.7527097889112814
TX_20,0,170976,0.0
TX_21,176913,351430,0.503408929231995
TX_22,152368,296449,0.5139771090474247
TX_23,102903,209058,0.4922222541112993
TX_24,132992,262433,0.5067655363464199
TX_25,162288,302700,0.5361347869177403
TX_26,185268,311860,0.5940742640928622
TX_27,124958,207079,0.6034315406197635
TX_28,0,138825,0.0
TX_29,28045,117246,0.23919792572880952
TX_30,0,182420,0.0
TX_31,144393,285191,0.5063027935664169
TX_32,125600,273909,0.45854645155872936
TX_33,26007,118609,0.21926666610459578
TX_34,57157,142804,0.40024789221590434
TX_35,50276,192816,0.2607459961828894
TX_36,160783,221534,0.7257712134480486
TX_Gov,4638582,8307412,0.5583666730384866
US_Sen,4244204,8334221,0.5092502346650035
