,older_proportion,proportion_white,proportion_male,born_in_TX,mean_income,higher_education,unemployment_rate,bucees
District 01 Estimate,0.42181916276588094,0.7703407975733786,0.4889639463823713,0.773982734537794,66809,0.2977721392461027,0.06064008279365876,0
District 02 Estimate,0.35272383701255916,0.676836358645123,0.5009698780983656,0.6510256898580494,108618,0.4904394279943972,0.04223591286174167,0
District 03 Estimate,0.33831188382524374,0.6851462453044055,0.49095448474498804,0.5556495284270448,122057,0.6129758829046509,0.03638537859666305,0
District 04 Estimate,0.42650340546788246,0.8126254704304673,0.4910798888633115,0.7256130912741765,74581,0.31526620335549604,0.04921901978635418,0
District 05 Estimate,0.37347845323422707,0.7733410085254405,0.5024253520431301,0.7693597462489579,69802,0.2656188264512123,0.04710820371722163,1
District 06 Estimate,0.3519624203286514,0.6502828760559717,0.4870025996063345,0.7014930959470971,84338,0.3774112935648911,0.038908501607217046,0
District 07 Estimate,0.32072427594318226,0.6475456859992925,0.5007330507786086,0.6623003650155104,120629,0.5484201781775473,0.052475067214285374,0
District 08 Estimate,0.37472328367765356,0.8266909709113397,0.5082142633798804,0.6866334683734144,99519,0.37694580443115555,0.05122171014932829,1
District 09 Estimate,0.3165793739206693,0.38900365404953546,0.4831603412134991,0.7699705737427548,63807,0.32139367133813956,0.06735423808213678,0
District 10 Estimate,0.34657295053279796,0.7054029430636648,0.496610383794125,0.6975910138649184,98947,0.47881882405176146,0.04384161691882452,1
District 11 Estimate,0.4037070093467843,0.8428015963827263,0.49852198976387385,0.7893282390963113,75935,0.2786439327252065,0.04225060793247058,0
District 12 Estimate,0.36171347374796514,0.7822853111582528,0.4913018519597645,0.6853635473351289,87936,0.3986308088676079,0.045633658064531624,0
District 13 Estimate,0.40108398857913935,0.8431546784773224,0.5119302573302685,0.7444316010473921,67118,0.28205034627555203,0.04329037506927168,0
District 14 Estimate,0.3863375046955956,0.7065870533350936,0.5075938099240422,0.7438972929045918,83452,0.32312752886826923,0.05331148745038772,1
District 15 Estimate,0.3223419974919541,0.8334791901154629,0.49960289858738127,0.8520119296607068,59462,0.24707497264362904,0.0614887206133029,0
District 16 Estimate,0.3448679059272322,0.7696421259078859,0.49103833056746915,0.7854225889648936,63139,0.3267913656503045,0.06316928905555341,0
District 17 Estimate,0.3380138726137955,0.7522768599486499,0.49632371524443114,0.7683958749008389,69504,0.38489019496187427,0.04546771223438373,0
District 18 Estimate,0.30289844612293343,0.5010007471245699,0.5008245856457131,0.7944043904723583,66180,0.2846245364954096,0.07116304866566059,0
District 19 Estimate,0.3563268270639827,0.8347185107095867,0.5074121290870904,0.795768687439152,66327,0.2932175004308383,0.04920357125466529,0
District 20 Estimate,0.3069438224100417,0.8416772903821065,0.4923472045160298,0.7974748594647073,64553,0.33296775175232146,0.05673755347510695,0
District 21 Estimate,0.39789798421390676,0.8551046431457442,0.4915645441493003,0.6661836144932618,99846,0.5330260808195302,0.03439711908605489,0
District 22 Estimate,0.34177445281339314,0.6124548535247692,0.49329379765461273,0.6901537253573711,117418,0.5611706534346086,0.05752914701058002,1
District 23 Estimate,0.3492473383692271,0.8205052542910477,0.5085456975129863,0.8047930039408788,72722,0.28993472744182913,0.0530887546728903,0
District 24 Estimate,0.3249852684103835,0.639870116722472,0.49343147069814763,0.6127912119943668,102701,0.5243917869461809,0.03837188529759304,0
District 25 Estimate,0.37359018424254103,0.8337568448706992,0.49497293704301587,0.6234701514900213,102553,0.47086032881070605,0.04343009555789927,0
District 26 Estimate,0.3233493166885273,0.776725729240239,0.4926748988043042,0.5773226018881513,113445,0.5401796888264215,0.039043337752734504,1
District 27 Estimate,0.4120325636109202,0.8589568499359024,0.49313567759095583,0.830768589864713,73932,0.28176922571747554,0.05221904039660891,1
District 28 Estimate,0.348278104648003,0.8719870683820348,0.4882083922803125,0.8416517245016348,64049,0.2474880752708319,0.0646218531690785,0
District 29 Estimate,0.2871906268707774,0.7833540946637911,0.507915776817229,0.8810930851847848,54335,0.15887162990540676,0.07300943753640152,0
District 30 Estimate,0.32350707464351613,0.47196888602518194,0.48232988095960583,0.7837243815810941,64915,0.26780638004499413,0.059915750954716136,0
District 31 Estimate,0.33373519381418126,0.748679724384779,0.4935658158419019,0.5756616510821071,89350,0.45509107239610036,0.04489331436699858,1
District 32 Estimate,0.3605201541804366,0.6813172275401728,0.4943860255785563,0.6554951153008235,109684,0.49826370277348114,0.046573280094259345,0
District 33 Estimate,0.2881015576221804,0.6447592443916583,0.5064486806048583,0.8346003365160454,52900,0.13562338702500668,0.06239834596829773,0
District 34 Estimate,0.35827184819716507,0.9178196661604326,0.4985067242078354,0.8836626803030485,52734,0.2277547310524844,0.05835300021701389,0
District 35 Estimate,0.2961984549919275,0.693807896236451,0.5047594034511548,0.7795307952688788,61999,0.2992151096172943,0.05170152937794077,1
District 36 Estimate,0.39626808032953015,0.831016304948052,0.49774537559564375,0.772807472124665,78142,0.2599712975546878,0.07727826921580326,1
